name,party,irt,svd_imp,svd_dc
Dirk-Ulrich Mende,SPD,-0.21362228572133687,0.04140078030118836,-0.019008985372011424
Dorothee Bär,CDU/CSU,0.9495160456946223,0.028750785014306217,0.05192753276135894
Dorothee Martin,SPD,-1.3391888868513648,0.04283372766699404,-0.03275057150987784
Dunja Kreiser,SPD,-0.9781832073208404,0.04343212236941916,-0.031911591488697745
Edgar Franke,SPD,-0.8075245433643803,0.04304193070180068,-0.031977055173377185
Edgar Naujok,AfD,1.851741074269254,0.007822023811702853,0.022655489080144642
Ekin Deligöz,BÜNDNIS 90/DIE GRÜNEN,-0.884517793157136,0.04233793672185225,-0.023369051465312308
Elisabeth Kaiser,SPD,-0.7237726356977676,0.04311819344747638,-0.03500519979002117
Elisabeth Winkelmeier-Becker,CDU/CSU,0.9952916780971177,0.027771342117402675,0.05138337214236631
Emilia Fester,BÜNDNIS 90/DIE GRÜNEN,-0.03699646032394114,0.04274052213101613,-0.03317304547604104
Emily Vontz,SPD,-0.1623441009513287,0.041566850451604236,-0.020582584297010608
Emmi Zeulner,CDU/CSU,0.8979807921621233,0.029779130860189112,0.05260010237600348
Enak Ferlemann,CDU/CSU,0.9726978634375953,0.029643538543418828,0.052523773666065164
Enrico Komning,AfD,1.471861059465796,0.011388042411147638,0.030277497760933976
Erhard Grundl,BÜNDNIS 90/DIE GRÜNEN,0.32780619530305455,0.0417528581365349,-0.03131472726429604
Erich Irlstorfer,CDU/CSU,0.9117043025951648,0.03084201025147517,0.03362843514181092
Erik von Malottki,SPD,0.3931023343902567,0.03972134037219308,-0.02611640030381143
Erwin Rüddel,CDU/CSU,0.9482404556076229,0.02905559661643497,0.055700849308712365
Esra Limbacher,SPD,-0.6240992884869794,0.04235467691673776,-0.03273229352814599
Esther Dilcher,SPD,-0.4255188194929176,0.04295130816157028,-0.034079744486438475
Eugen Schmidt,AfD,1.5255806308811288,0.010897574883899612,0.030208675728983374
Fabian Funke,SPD,-0.37799098393074915,0.04289308038321817,-0.03466662813594292
Fabian Gramling,CDU/CSU,0.9310155186959469,0.030110764130807998,0.05237620015619221
Fabian Griewel,FDP,-0.061785865915233606,0.0382077293594745,-8.162963318913046e-4
Fabian Jacobi,AfD,1.4753307337286865,0.009793831681681681,0.03476801454853657
Falko Droßmann,SPD,-1.2087956627380432,0.04344065887039553,-0.03285020988035791
Falko Mohrs,SPD,-0.919435021593349,0.03824349840257197,-0.010737552827946547
Felix Banaszak,BÜNDNIS 90/DIE GRÜNEN,-1.4728767092630322,0.0423682278421636,-0.03185481277207739
Felix Döring,SPD,-1.6360907298288565,0.043328618608875505,-0.034545617410045935
Felix Schreiner,CDU/CSU,0.9399583800274814,0.029038087980064527,0.05486447889153815
Filiz Polat,BÜNDNIS 90/DIE GRÜNEN,0.055043881897733966,0.04217291452719259,-0.0317111910067002
Florian Hahn,CDU/CSU,0.9410592711160434,0.030871620224069023,0.051599329372423175
Florian Müller,CDU/CSU,0.9622013904773958,0.0291753277404011,0.05195195697801335
Florian Oßner,CDU/CSU,0.9800852028884811,0.02964058121669335,0.05677595077340102
Florian Toncar,FDP,-0.0750431778728197,0.04283026039336783,-0.027576140400908767
Frank Bsirske,BÜNDNIS 90/DIE GRÜNEN,0.11967602676052322,0.04243684618311159,-0.0277244148573839
Frank Junge,SPD,-1.3222254151365924,0.042801954403228495,-0.03270030740084931
Frank Müller-Rosentritt,FDP,-0.12331571905311961,0.04219157175997999,-0.0280836677601071
Frank Rinck,AfD,1.4782803082111902,0.010009015926538325,0.03178088085615885
Frank Schäffler,FDP,0.1011907152199155,0.04221123538826765,-0.028604397938418815
Frank Schwabe,SPD,-1.1092572853989475,0.04302068304209559,-0.027249277503169276
Frank Ullrich,SPD,-1.2082179277674012,0.04259166528522795,-0.03082107571540077
Franziska Brantner,BÜNDNIS 90/DIE GRÜNEN,-1.1791917621278103,0.04319866143984676,-0.030982923924431638
Franziska Hoppermann,CDU/CSU,0.9642347925555093,0.028624004871168514,0.056971062238122275
Franziska Kersten,SPD,-1.1826397994591173,0.043157193492956,-0.0339144829863358
Franziska Krumwiede-Steiner,BÜNDNIS 90/DIE GRÜNEN,-0.9039723981808496,0.04229392805222421,-0.007068236979226281
Franziska Mascheck,SPD,-1.1516040255171032,0.04314437180591385,-0.033777500966587354
Frauke Heiligenstadt,SPD,-1.4955129722486022,0.04317242108221069,-0.03334235638032666
Friedhelm Boginski,FDP,-0.25248643395587844,0.042764704682140164,-0.031007011846788522
